,shapeISO,shapeName
1,TH-45,Roi Et Province
2,TH-56,Phayao Province
3,TH-60,Nakhon Sawan Province
4,TH-39,Nong Bua Lam Phu Province
5,TH-24,Chachoengsao Province
6,TH-32,Surin Province
7,TH-30,Nakhon Ratchasima Province
8,TH-64,Sukhothai Province
9,TH-76,Phetchaburi Province
10,TH-36,Chaiyaphum Province
11,TH-67,Phetchabun Province
12,TH-84,Surat Thani Province
13,TH-33,Si Sa Ket Province
14,TH-43,Nong Khai Province
15,TH-10,Bangkok
16,TH-40,Khon Kaen Province
17,TH-42,Loei Province
18,TH-19,Saraburi Province
19,TH-61,Uthai Thani Province
20,TH-86,Chumphon Province
21,TH-46,Kalasin
22,TH-65,Phitsanulok Province
23,TH-85,Ranong Province
24,TH-41,Udon Thani Province
25,TH-47,Sakon Nakhon Province
26,TH-57,Chiang Rai Province
27,TH-63,Tak Province
28,TH-73,Nakhon Pathom Province
29,TH-51,Lamphun Province
30,TH-23,Trat Province
31,TH-70,Ratchaburi Province
32,TH-35,Yasothon Province
33,TH-54,Phrae Province
34,TH-95,Yala Province
35,TH-53,Uttaradit Province
36,TH-31,Buri Ram Province
37,TH-62,Kamphaeng Phet Province
38,TH-52,Lampang Province
39,TH-12,Nonthaburi Province
40,TH-38,Bueng Kan Province
41,TH-96,Narathiwat Province
42,TH-34,Ubon Ratchathani Province
43,TH-77,Prachuap Khiri Khan Province
44,TH-90,Songkhla Province
45,TH-83,Phuket Province
46,TH-15,Ang Thong Province
47,TH-44,Maha Sarakham Province
48,TH-92,Trang Province
49,TH-72,Suphan Buri Province
50,TH-17,Sing Buri Province
51,TH-75,Samut Songkhram Province
52,TH-21,Rayong Province
53,TH-25,Prachin Buri Province
54,TH-14,Phra Nakhon Si Ayutthaya Province
55,TH-66,Phichit Province
56,TH-93,Phatthalung Province
57,TH-82,Phangnga Province
58,TH-94,Pattani Province
59,TH-13,Pathum Thani Province
60,TH-80,Nakhon Si Thammarat Province
61,TH-26,Nakhon Nayok Province
62,TH-49,Mukdahan Province
63,TH-16,Lopburi Province
64,TH-81,Krabi Province
65,TH-20,Chon Buri Province
66,TH-50,Chiang Mai Province
67,TH-18,Chai Nat Province
68,TH-37,Amnat Charoen Province
69,TH-74,Samut Sakhon Province
70,TH-11,Samut Prakan Province
71,TH-55,Nan Province
72,TH-22,Chanthaburi Province
73,TH-48,Nakhon Phanom Province
74,TH-71,Kanchanaburi Province
75,TH-58,Mae Hong Son Province
76,TH-27,Sa Kaeo Province
77,TH-91,Satun Province
